BI	TOTAL	ABU	JOC	MON	OUV	PER
Né	389	 21	 137	 68	 113	 50
Nî	12	 1	0	 4	 6	 1
Nô	1	0	0	 1	0	0
Nû	1	 1	0	0	0	0
Nü	2	0	 1	 1	0	0
O 	2290	 30	 2073	 52	 71	 64
O!	1	0	0	0	0	 1
O'	38	0	 23	 6	 4	 5
O(	3	0	0	0	0	 3
O)	84	0	 35	 12	 12	 25
O,	347	 2	 12	 269	 41	 23
O-	72	0	 17	 11	 6	 38
O.	99	 9	 13	 21	 27	 29
O/	8	0	 2	0	0	 6
O1	4	0	0	0	 1	 3
O2	108	0	 70	0	0	 38
O3	9	0	 1	0	0	 8
O4	3	0	0	0	0	 3
O5	7	0	0	0	0	 7
O8	5	0	0	0	0	 5
O:	1	0	0	 1	0	0
O;	1	0	 1	0	0	0
O?	1	0	 1	0	0	0
OA	37	 4	 10	 3	0	 20
OB	55	 9	 2	 21	 1	 22
OC	143	 2	 64	 30	 10	 37
OD	38	 7	 4	 8	 14	 5
OE	131	 29	 27	 68	0	 7
OF	45	 2	 4	 17	 14	 8
OG	144	 4	 99	 16	 1	 24
OH	14	 1	 2	 1	0	 10
OI	184	 47	 47	 48	 6	 36
OJ	20	0	 1	 17	 1	 1
OK	8	 1	0	 5	 1	 1
OL	126	 15	 8	 49	0	 54
OM	608	 42	 410	 118	 3	 35
ON	762	 93	 191	 279	 21	 178
OO	17	 1	 1	 8	0	 7
OP	148	 5	 37	 68	 7	 31
OQ	1	 1	0	0	0	0
OR	209	 38	 18	 67	 5	 81
OS	130	 7	 28	 31	 25	 39
OT	91	 12	 34	 20	 8	 17
OU	164	 29	0	 85	 2	 48
OV	27	 2	 8	 7	0	 10
OW	24	0	 9	 2	0	 13
OX	27	 1	 1	 10	0	 15
OY	11	 6	0	 2	0	 3
OZ	3	0	 1	 1	0	 1
Oa	4	0	 2	 2	0	0
Ob	5231	 8	 5104	 32	 16	 71
Oc	225	 31	 22	 83	 26	 63
Od	93	 11	 39	 20	 3	 20
Oe	30	 6	0	 7	 15	 2
Of	205	 4	 105	 41	 37	 18
Og	7	0	 1	 2	0	 4
Oh	359	 335	0	 14	 7	 3
Oi	32	 12	 6	 7	 7	0
Ok	12	0	 6	 3	 1	 2
Ol	208	 14	 36	 84	 25	 49
Om	39	 4	 10	 12	 5	 8
On	3909	 1286	 120	 793	 727	 983
Oo	17	 7	 6	 1	 2	 1
Op	227	 71	 12	 80	 7	 57
Or	1962	 231	 472	 392	 477	 390
Os	136	 18	 26	 39	 8	 45
Ot	86	 39	 4	 32	 6	 5
Ou	1556	 645	 156	 443	 177	 135
Ov	42	 14	 17	 7	0	 4
Ow	30	0	 2	 22	0	 6
Ox	37	0	 6	 7	 5	 19
Oy	7	 1	0	 2	 2	 2
Oz	12	0	 1	 1	 3	 7
O£	1	0	0	0	0	 1
OÎ	1	0	0	0	0	 1
Oï	2	0	0	 2	0	0
Où	233	 162	 19	 28	 10	 14
Oú	1	0	 1	0	0	0
P 	490	 6	 120	 137	 63	 164
P&	3	0	 3	0	0	0
P'	6	0	0	 2	0	 4
P(	4	0	 4	0	0	0
P)	167	0	 89	 30	 13	 35
P,	291	0	 39	 163	 29	 60
P-	34	0	 11	 3	 2	 18
P.	490	 35	 32	 84	 176	 163
P/	6	0	 3	0	0	 3
P1	5	0	 1	0	0	 4
P2	3	0	 1	0	0	 2
P3	19	0	 2	0	0	 17
P4	2	0	 1	0	0	 1
P6	1	0	 1	0	0	0
P:	2	0	 2	0	0	0
P;	1	0	0	 1	0	0
P?	5	0	 4	 1	0	0
PA	382	 38	 150	 88	 46	 60
PB	17	0	 15	0	 1	 1
PC	995	0	 57	 890	0	 48
PD	106	0	 12	 72	 6	 16
PE	799	 25	 555	 109	 45	 65
PF	307	0	 5	 258	 21	 23
PG	72	0	 22	 29	0	 21
PH	82	 14	 17	 25	0	 26
PI	436	 71	 113	 46	 152	 54
PJ	10	0	0	 6	0	 4
PK	8	0	 4	 2	 1	 1
PL	196	 32	 6	 102	 43	 13
PM	220	0	 115	 43	 13	 49
PN	149	0	 34	 103	0	 12
PO	319	 19	 40	 112	 102	 46
PP	521	 7	 441	 28	 20	 25
PQ	9	0	0	0	0	 9
PR	1263	 25	 17	 1175	 8	 38
PS	1465	 1	 170	 1261	 9	 24
PT	124	 1	 45	 64	 2	 12
PU	64	 7	 10	 15	 4	 28
PV	60	0	 55	 2	 2	 1
PW	1	0	0	 1	0	0
PY	11	0	 4	 6	0	 1
PZ	2	0	 1	0	0	 1
Pa	10168	 1547	 3144	 2380	 1629	 1468
Pb	5	0	 1	0	0	 4
Pc	3	0	0	0	0	 3
Pd	7	0	0	0	0	 7
Pe	2391	 464	 354	 808	 372	 393
Pf	23	0	 7	 6	 6	 4
Ph	1148	 596	 98	 259	 63	 132
Pi	1850	 172	 302	 828	 306	 242
Pl	1328	 228	 190	 358	 213	 339
Po	5536	 845	 1162	 1421	 968	 1140
Pq	2	0	0	0	0	 2
Pr	3009	 416	 1113	 579	 375	 526
Ps	113	 1	 11	 4	 86	 11
Pt	11	 6	 2	0	0	 3
Pu	1134	 721	 63	 140	 130	 80
Py	104	 17	 26	 16	 6	 39
P»	2	0	 2	0	0	0
PÈ	3	 3	0	0	0	0
PÉ	12	 4	0	 7	0	 1
Pâ	41	 14	 2	 11	 13	 1
Pè	89	 29	 1	 21	 28	 10
Pé	950	 642	 64	 110	 101	 33
Pê	36	 1	 32	 3	0	0
Q 	41	 4	0	0	 5	 32
Q)	9	0	0	0	0	 9
Q,	15	0	0	0	 1	 14
Q.	12	0	0	 2	0	 10
Q/	1	0	0	0	0	 1
Q7	4	0	0	0	0	 4
QA	2	0	0	0	0	 2
QB	1	0	0	 1	0	0
QG	7	0	0	 7	0	0
QN	2	0	0	0	0	 2
QP	2	0	 2	0	0	0
QR	9	0	0	0	0	 9
QU	210	 46	 1	 79	 11	 73
Qa	3	0	 1	 2	0	0
Qe	1	0	0	 1	0	0
Qi	4	0	 1	 2	0	 1
Qo	6	0	0	 6	0	0
Qu	5802	 2038	 1403	 964	 605	 792
Q»	4	0	0	0	0	 4
R 	961	 23	 133	 614	 72	 119
R&	38	0	 38	0	0	0
R'	3	0	 2	0	0	 1
R(	1	0	 1	0	0	0
R)	234	 1	 130	 66	 8	 29
R+	2	0	 1	0	 1	0
R,	739	 5	 26	 649	 12	 47
R-	31	 2	 7	 13	 1	 8
R.	242	 7	 19	 65	 75	 76
R/	9	0	 9	0	0	0
R1	2	0	0	0	0	 2
R2	5	0	 2	0	0	 3
R3	24	0	 1	 18	0	 5
R?	2	0	 2	0	0	0
RA	394	 30	 38	 156	 19	 151
RB	46	 3	 24	 14	0	 5
RC	190	 6	 120	 40	 1	 23
RD	253	 31	 94	 108	 3	 17
RE	612	 183	 42	 202	 20	 165
RF	161	0	 13	 93	 43	 12
RG	166	 7	 5	 125	 14	 15
RH	50	 1	 1	 9	 30	 9
RI	291	 74	 29	 87	 12	 89
RJ	4	0	0	 3	 1	0
RK	7	 1	 4	 1	 1	0
RL	36	 2	 17	 5	0	 12
RM	137	 7	 5	 40	 3	 82
RN	155	 11	 20	 43	 3	 78
RO	200	 34	 17	 71	 11	 67
RP	961	 1	 17	 920	 7	 16
RQ	11	 2	0	 2	 2	 5
RR	57	 13	 14	 15	 1	 14
RS	1045	 8	 6	 186	 36	 809
RT	215	 53	 6	 48	 15	 93
RU	50	 8	 22	 11	0	 9
RV	29	 2	0	 21	 1	 5
RW	14	0	 7	0	 2	 5
RY	13	 9	 2	0	0	 2
RZ	2	0	0	 1	0	 1
Ra	1508	 256	 218	 546	 218	 270
Rb	21	0	0	0	0	 21
Re	3193	 833	 419	 720	 800	 421
Rh	361	 19	 81	 105	 29	 127
Ri	1172	 302	 160	 286	 250	 174
Rl	1	0	0	0	 1	0
Ro	3501	 807	 758	 1127	 387	 422
Rr	1	0	0	0	0	 1
Ru	711	 39	 205	 185	 54	 228
Rw	4	0	 4	0	0	0
Ry	34	 8	0	 9	0	 17
Rz	4	0	0	0	 3	 1
R»	2	0	0	0	0	 2
RÇ	1	0	0	0	0	 1
RÈ	4	0	0	 3	 1	0
RÉ	66	 16	0	 42	 3	 5
RÊ	3	0	0	 2	0	 1
RÏ	1	0	0	0	0	 1
RÔ	2	0	0	 1	0	 1
Râ	3	 1	0	0	0	 2
Rè	58	 1	 42	 2	 8	 5
Ré	5352	 140	 3668	 998	 263	 283
Rê	13	 10	0	 3	0	0
Rô	18	 1	 11	 2	 2	 2
Rö	2	 1	0	0	0	 1
Rø	1	0	 1	0	0	0
S 	1582	 113	 93	 811	 54	 511
S"	1	0	0	0	0	 1
S&	3	0	 3	0	0	0
S'	597	 111	 112	 148	 131	 95
S)	501	 1	 323	 63	 5	 109
S,	1208	 21	 18	 998	 14	 157
S-	478	 1	 7	 89	0	 381
S.	253	 7	 27	 103	 23	 93
S/	17	0	 5	 1	0	 11
S1	9	0	0	0	 2	 7
S2	6	0	 1	0	0	 5
S:	2	0	 1	 1	0	0
S;	5	0	 5	0	0	0
S=	1	0	0	0	0	 1
S?	4	0	 4	0	0	0
SA	344	 20	 70	 111	 29	 114
SB	9	0	 7	 1	 1	0
SC	246	 25	 110	 21	 14	 76
SD	61	0	 17	 36	 3	 5
SE	828	 39	 452	 233	 24	 80
SF	66	0	 17	 37	 6	 6
SG	67	0	 3	 52	 2	 10
SH	17	0	 2	 3	 2	 10
SI	275	 35	 53	 119	 12	 56
SK	8	 1	0	 2	0	 5
SL	26	0	 6	 18	0	 2
SM	168	0	 22	 69	 48	 29
SN	1048	 3	 20	 143	 875	 7
SO	194	 42	 38	 54	 13	 47
SP	199	 6	 69	 59	 17	 48
SQ	11	 3	0	 3	0	 5
SR	29	0	 6	 8	 1	 14
SS	369	 24	 22	 187	 56	 80
ST	209	 22	 33	 79	 9	 66
SU	100	 3	 6	 40	 1	 50
SV	12	0	0	 4	 1	 7
SW	20	0	 3	 11	 5	 1
SX	1	0	0	 1	0	0
SY	28	 1	 16	 3	0	 8
SZ	1	0	0	0	0	 1
Sa	4694	 1561	 507	 1260	 948	 418
Sb	1	0	 1	0	0	0
Sc	1140	 139	 297	 229	 223	 252
Se	2914	 424	 766	 766	 523	 435
Sf	11	0	0	 1	 7	 3
Sg	3	 2	0	0	0	 1
Sh	375	 18	 135	 160	 12	 50
Si	3433	 828	 522	 721	 690	 672
Sj	1	0	0	 1	0	0
Sk	85	0	 56	 24	0	 5
Sl	85	 19	 30	 29	0	 7
Sm	113	 12	 49	 19	 1	 32
Sn	7	 1	0	 1	 1	 4
So	3287	 989	 676	 672	 510	 440
Sp	417	 94	 84	 57	 109	 73
Sq	2	0	 1	 1	0	0
Sr	17	0	 13	 3	0	 1
St	1545	 136	 457	 409	 272	 271
Su	2189	 331	 589	 595	 274	 400
Sv	16	0	 5	 3	0	 8
Sw	24	 1	 3	 13	0	 7
Sy	356	 41	 102	 127	 30	 56
Sz	8	0	0	 4	 2	 2
Sœ	2	0	0	0	 2	0
S»	3	0	 3	0	0	0
SÈ	3	0	0	 2	0	 1
SÉ	15	0	0	 4	0	 11
Sà	1	0	0	0	0	 1
Sá	4	0	 4	0	0	0
Sâ	1	0	0	0	 1	0
Sè	32	 6	 1	 17	 1	 7
Sé	437	 58	 136	 169	 45	 29
Sû	15	 3	 3	 5	 1	 3
Sü	8	0	 2	 3	 3	0
T 	723	 90	 160	 234	 81	 158
T"	3	 2	0	 1	0	0
T'	24	 10	 10	 2	0	 2
T)	184	0	 132	 16	 13	 23
T+	3	0	0	0	0	 3
T,	308	 16	 49	 186	 20	 37
T-	81	 3	 7	 46	 5	 20
T.	220	 6	 36	 73	 56	 49
T/	17	0	 5	 1	 1	 10
T1	2	0	 1	0	0	 1
T2	6	0	 5	0	0	 1
T3	3	0	0	 1	0	 2
T4	1	0	0	0	0	 1
T5	3	0	0	 2	 1	0
T6	1	0	 1	0	0	0
T:	7	0	 7	0	0	0
T;	3	0	 3	0	0	0
T?	10	0	 10	0	0	0
TA	254	 29	 56	 110	 9	 50
TB	43	0	 11	 5	0	 27
TC	43	0	 17	 9	 12	 5
TD	63	0	 11	 52	0	0
TE	352	 51	 47	 98	 60	 96
TF	130	0	 5	 67	0	 58
TG	245	0	 21	 25	 197	 2
TH	108	 48	 13	 32	0	 15
TI	367	 53	 21	 149	 24	 120
TJ	13	0	 9	0	0	 4
TK	34	0	0	0	 32	 2
TL	51	0	 1	 18	0	 32
TM	15	0	 2	0	 7	 6
TN	16	0	 8	 3	0	 5
TO	154	 13	 27	 66	 4	 44
TP	56	0	 6	 20	 16	 14
TQ	7	0	0	0	 6	 1
TR	232	 91	 16	 52	 15	 58
TS	116	 5	 27	 52	 7	 25
TT	275	 5	 204	 50	 2	 14
TU	57	 7	 5	 16	 2	 27
TV	339	0	 252	 44	 1	 42
TW	7	0	 2	 1	0	 4
TX	4	0	0	0	 4	0
TY	7	 1	 1	0	 2	 3
TZ	6	 3	0	 1	0	 2
T]	1	0	0	 1	0	0
Ta	1272	 319	 252	 275	 229	 197
Tb	4	0	0	 4	0	0
Tc	262	 35	 89	 90	 1	 47
Td	1	0	0	0	0	 1
Te	1186	 369	 149	 277	 156	 235
Tg	2	0	0	0	0	 2
Th	1288	 241	 214	 318	 198	 317
Ti	435	 140	 97	 112	 32	 54
Tj	5	0	0	 3	0	 2
Tl	5	0	0	0	0	 5
To	3765	 987	 636	 767	 699	 676
Tr	1739	 350	 389	 448	 260	 292
Ts	29	0	 11	 8	0	 10
Tu	1075	 709	 183	 92	 37	 54
Tv	7	0	 1	0	0	 6
Tw	20	0	0	 8	0	 12
Ty	46	 8	 5	 6	 7	 20
Tz	14	0	 8	 1	 4	 1
T«	1	0	 1	0	0	0
T»	1	0	 1	0	0	0
TÈ	6	 1	0	 4	0	 1
TÉ	47	 4	0	 29	 2	 12
TÜ	9	0	 9	0	0	0
Tâ	16	 10	0	 5	0	 1
Tä	2	0	0	0	 2	0
Té	149	 5	 28	 70	 15	 31
Tê	6	 1	0	 5	0	0
Tô	1	0	0	 1	0	0
Tö	2	0	0	0	0	 2
Tü	3	0	0	 1	 1	 1
U 	248	 7	 34	 123	 9	 75
U'	19	 3	0	 15	0	 1
U)	69	0	 48	 6	0	 15
U,	121	 2	 11	 96	0	 12
U-	23	0	0	 13	0	 10
U.	44	0	 11	 12	0	 21
U/	5	0	0	0	0	 5
U1	2	0	 2	0	0	0
U2	2	0	0	0	0	 2
U9	1	0	 1	0	0	0
U?	1	0	 1	0	0	0
UA	83	 9	 7	 18	 44	 5
UB	39	 10	 5	 6	 1	 17
UC	52	 8	 6	 25	 3	 10
UD	746	 6	 7	 724	0	 9
UE	337	 37	 109	 110	 11	 70
UF	38	 2	 13	 6	 1	 16
UG	66	 5	 17	 40	0	 4
UH	11	 9	0	0	0	 2
UI	90	 20	 7	 39	 12	 12
UJ	3	0	0	0	0	 3
UK	11	0	 3	0	0	 8
UL	93	 10	0	 35	 3	 45
UM	22	 4	 2	 3	0	 13
UN	172	 13	 50	 57	 7	 45
UO	7	 1	0	 1	0	 5
UP	274	 1	 8	 258	0	 7
UQ	2	0	0	0	0	 2
UR	408	 37	 63	 186	 13	 109
US	175	 19	 10	 62	 17	 67
UT	89	 13	 1	 51	 5	 19
UV	94	 8	0	 23	 5	 58
UX	52	 13	0	 14	 4	 21
UY	10	 5	0	 3	0	 2
UZ	1	0	0	 1	0	0
Ua	1	0	0	0	0	 1
Ub	9	 2	0	 2	0	 5
Uc	7	 3	0	 3	0	 1
Ud	2	 1	0	0	0	 1
Ue	5	 1	0	 4	0	0
Uf	1	0	0	 1	0	0
Ug	11	 5	 1	 5	0	0
Uj	1	 1	0	0	0	0
Uk	60	 7	 29	 19	0	 5
Ul	1701	 1651	 3	 16	 7	 24
Um	14	0	 6	 2	 1	 5
Un	8015	 1581	 1910	 1863	 962	 1699
Up	8	0	 2	 4	0	 2
Ur	150	 6	 98	 22	 6	 18
Us	89	 5	 12	 5	 51	 16
Ut	100	 20	 54	 6	 6	 14
Uy	1	 1	0	0	0	0
Uz	2	 2	0	0	0	0
UÉ	5	0	0	 4	 1	0
UÊ	3	0	0	 3	0	0
Ué	1	0	0	0	0	 1
V 	526	 66	 93	 51	 200	 116
V"	1	0	0	0	0	 1
V)	200	 1	 152	 8	 14	 25
V,	153	 33	 20	 21	 36	 43
V-	16	0	 4	 4	 5	 3
V.	393	 42	 11	 240	 42	 58
V/	7	0	 1	0	 3	 3
V0	1	0	0	0	0	 1
V1	1	0	0	0	 1	0
V2	7	0	0	0	 1	 6
V3	1	0	0	0	0	 1
V4	1	0	 1	0	0	0
V5	1	0	0	0	0	 1
V6	3	0	0	 2	0	 1
V7	2	0	0	0	 2	0
V:	1	0	 1	0	0	0
V;	1	0	 1	0	0	0
V?	4	0	 4	0	0	0
VA	338	 8	 238	 45	 5	 42
VB	26	0	 7	0	 3	 16
VC	3	0	 1	0	0	 2
VD	43	0	 42	0	0	 1
VE	153	 31	 20	 70	 2	 30
VF	5	0	0	0	 1	 4
VG	16	0	 2	 5	 8	 1
VH	13	0	 12	0	0	 1
VI	687	 217	 87	 91	 64	 228
VL	12	0	0	0	0	 12
VM	14	0	 6	 7	 1	0
VN	1	0	0	 1	0	0
VO	55	 15	 1	 26	0	 13
VP	15	0	 3	 11	0	 1
VQ	2	0	 2	0	0	0
VR	34	 22	 1	 6	 4	 1
VS	8	0	0	 3	0	 5
VT	5	0	 1	 4	0	0
VU	9	 1	0	 8	0	0
VV	7	0	 7	0	0	0
VW	1	0	 1	0	0	0
V[	1	0	0	0	 1	0
Va	1862	 353	 728	 374	 290	 117
Vc	1	0	0	0	 1	0
Ve	1531	 406	 177	 690	 130	 128
Vi	2248	 901	 280	 628	 249	 190
Vl	48	 8	 16	 9	 1	 14
Vn	1	0	0	 1	0	0
Vo	2241	 1297	 139	 380	 185	 240
Vr	65	 24	 19	 4	 7	 11
Vs	1	0	0	0	 1	0
Vu	118	 13	 53	 36	 4	 12
Vx	1	0	0	0	 1	0
Vy	1	 1	0	0	0	0
Vz	2	0	0	0	0	 2
Vœ	1	0	0	0	 1	0
V°	2	 2	0	0	0	0
VÉ	4	0	0	 2	 1	 1
Vá	5	0	 5	0	0	0
Vè	1	0	 1	0	0	0
Vé	156	 41	 10	 23	 27	 55
Vê	7	 5	0	 1	 1	0
Ví	13	0	 13	0	0	0
Vî	3	 2	 1	0	0	0
Vö	4	 1	 3	0	0	0
W 	90	0	 20	 1	 56	 13
W)	18	0	 4	0	 9	 5
W,	27	0	 6	 1	 18	 2
W-	4	0	 2	 2	0	0
W.	125	 54	 6	 5	 32	 28
W/	8	0	0	0	 7	 1
W6	1	0	0	0	 1	0
W:	1	0	 1	0	0	0
WA	33	0	 16	 15	0	 2
WC	8	0	 6	 2	0	0
WD	1	0	 1	0	0	0
WE	12	 4	 5	 2	0	 1
WF	12	0	 10	0	0	 2
WG	7	0	 7	0	0	0
WH	3	0	 3	0	0	0
WI	26	 3	 5	 7	 2	 9
WL	1	0	0	0	0	 1
WO	8	 1	 1	 1	0	 5
WS	5	0	0	 1	0	 4
WT	1	0	0	0	0	 1
WU	2	0	0	0	0	 2
WV	1	0	0	 1	0	0
WW	17	0	 15	0	0	 2
Wa	747	 246	 90	 240	 48	 123
We	398	 29	 56	 111	 90	 112
Wh	83	0	 15	 20	 27	 21
Wi	405	 34	 43	 153	 75	 100
Wl	5	0	0	 5	0	0
Wn	1	0	0	0	0	 1
Wo	280	 41	 36	 56	 55	 92
Wp	1	0	0	0	0	 1
Wr	8	 4	 1	 1	0	 2
Wu	40	 5	 5	 3	 9	 18
Wy	15	 2	 2	 2	 7	 2
W»	1	0	0	0	0	 1
Wä	1	0	0	0	 1	0
Wü	8	0	 2	 1	 3	 2
X 	365	 48	 26	 62	 61	 168
X(	1	0	0	0	 1	0
X)	31	0	 3	 3	 16	 9
X,	80	 21	 4	 5	 11	 39
X-	23	0	 2	 7	 11	 3
X.	64	 14	 1	 16	 13	 20
X/	2	0	 2	0	0	0
X2	1	0	0	0	 1	0
X?	2	0	 2	0	0	0
XA	3	0	0	 2	 1	0
XC	6	 2	 2	 1	 1	0
XE	7	 1	0	 3	0	 3
XI	459	 148	 86	 23	 54	 148
XL	28	 25	0	0	 1	 2
XM	1	0	0	 1	0	0
XO	1	0	0	0	0	 1
XP	11	 5	0	 4	0	 2
XR	1	0	0	0	 1	0
XS	1	0	0	 1	0	0
XT	1	0	0	 1	0	0
XU	5	0	0	0	0	 5
XV	302	 151	 15	 17	 25	 94
XW	3	 3	0	0	0	0
XX	276	 142	 28	 7	 42	 57
XY	1	0	0	0	0	 1
Xa	49	 3	 7	 27	 4	 8
Xe	159	 12	 2	 12	 1	 132
Xh	2	0	0	 2	0	0
Xi	10	 1	0	 7	0	 2
Xl	2	 2	0	0	0	0
Xm	1	0	0	 1	0	0
Xt	3	0	0	0	0	 3
Xu	6	0	0	0	0	 6
Xy	1	0	0	0	0	 1
X»	1	0	0	0	0	 1
Xè	3	0	 1	0	0	 2
Xé	3	0	 1	 1	0	 1
Y 	106	 33	 24	 16	 7	 26
Y)	8	0	 3	0	 1	 4
Y,	14	 5	 1	0	0	 8
Y-	12	0	 3	 3	 1	 5
Y.	44	 2	 1	 3	 20	 18
YA	11	 2	 3	 2	0	 4
YB	3	0	0	0	0	 3
YC	7	0	0	 2	0	 5
YD	16	0	 16	0	0	0
YE	8	 1	 2	 2	0	 3
YG	5	 5	0	0	0	0
YH	2	0	 2	0	0	0
YL	3	 1	 1	0	0	 1
YM	6	 1	0	 1	0	 4
YN	13	0	 9	 1	0	 3
YO	8	 1	0	 5	0	 2
YP	7	 1	0	 2	 2	 2
YR	13	0	 4	 8	0	 1
YS	27	 14	0	 6	 1	 6
YV	4	0	0	 4	0	0
YX	1	 1	0	0	0	0
Ya	163	 4	 19	 72	0	 68
Yd	2	0	0	 1	0	 1
Ye	18	0	 2	 8	 1	 7
Yi	7	0	 2	 1	0	 4
Yl	4	0	 3	0	 1	0
Yo	431	 23	 170	 160	 21	 57
Yp	7	 5	 2	0	0	0
Ys	11	 1	0	 7	 2	 1
Yu	11	0	 4	 5	0	 2
Yv	338	 6	 18	 193	 85	 36
Yw	3	0	0	 3	0	0
Yé	17	0	 17	0	0	0
Z 	59	 6	 2	 7	 31	 13
Z)	8	0	 6	0	 1	 1
Z,	15	 2	 1	 4	 1	 7
Z-	9	0	0	0	 8	 1
Z.	14	0	0	 3	 9	 2
Z0	7	0	0	0	0	 7
Z2	8	0	0	0	 8	0
ZA	24	 1	 4	 1	0	 18
ZB	1	0	0	 1	0	0
ZC	3	0	 3	0	0	0
ZD	3	0	0	 2	0	 1
ZE	7	0	 1	 2	0	 4
ZH	1	0	0	 1	0	0
ZI	13	0	 11	 1	0	 1
ZN	2	0	 2	0	0	0
ZO	22	0	 2	 3	0	 17
ZP	8	0	 8	0	0	0
ZS	1	0	0	0	0	 1
ZT	4	0	 1	0	0	 3
ZU	6	0	0	 6	0	0
ZW	2	0	 1	 1	0	0
ZY	1	0	0	0	0	 1
ZZ	2	0	0	 1	0	 1
Za	170	 33	 41	 54	 17	 25
Zb	2	0	0	 2	0	0
Ze	94	 13	 7	 41	 17	 16
Zh	3	0	0	0	0	 3
Zi	65	 3	 23	 31	 2	 6
Zl	10	0	 1	 9	0	0
Zm	4	0	0	0	 4	0
Zn	15	0	0	0	0	 15
Zo	103	 10	 17	 26	 32	 18
Zu	56	 26	 4	 19	 3	 4
Zv	2	0	0	 2	0	0
Zw	15	 7	 5	 1	 1	 1
Zy	8	0	0	 6	0	 2
ZÈ	1	0	0	 1	0	0
ZÉ	2	 1	0	 1	0	0
Zè	2	0	0	 1	 1	0
Zé	83	 31	 7	 32	 4	 9
Zü	2	0	0	 1	0	 1
[ 	15	 2	 3	0	 7	 3
["	1	0	0	0	0	 1
[*	1	 1	0	0	0	0
[+	3	0	0	0	0	 3
[,	2	0	0	0	 2	0
[-	2	0	0	0	0	 2
[.	1070	0	0	 1	 976	 93
[1	15	 7	0	0	0	 8
[2	1	0	0	0	0	 1
[3	1	0	0	0	0	 1
[4	1	 1	0	0	0	0
[5	2	 2	0	0	0	0
[6	1	 1	0	0	0	0
[7	1	 1	0	0	0	0
[8	1	0	 1	0	0	0
[:	1	0	0	0	 1	0
[;	3	0	0	0	 3	0
[=	2	0	0	0	0	 2
[A	3	0	 1	 1	 1	0
[B	5	 1	0	0	 3	 1
[C	23	 10	 3	 1	 9	0
[D	6	 4	0	0	 2	0
[E	10	 3	 2	0	 4	 1
[F	7	0	 5	0	 2	0
[G	3	0	0	 1	 1	 1
[H	1	 1	0	0	0	0
[I	6	 1	0	0	 4	 1
[J	4	0	0	 1	 2	 1
[L	27	 4	0	 1	 12	 10
[M	4	 3	0	0	 1	0
[N	5	 2	0	0	 3	0
[O	1	0	 1	0	0	0
[P	9	 4	0	0	 4	 1
[Q	3	0	0	0	 1	 2
[R	3	0	 2	0	0	 1
[S	39	 6	 1	 1	0	 31
[T	4	 2	0	0	 1	 1
[U	5	 5	0	0	0	0
[V	2	0	 2	0	0	0
[X	2	0	0	0	0	 2
[Y	2	0	0	0	0	 2
[[	188	0	0	0	0	 188
[]	484	0	0	0	 484	0
[a	20	0	 3	 2	 4	 11
[b	1	0	0	0	 1	0
[c	18	0	0	 1	 8	 9
[d	55	0	 13	 14	 18	 10
[e	23	0	 1	 6	 15	 1
[f	14	0	0	0	 6	 8
[g	1	0	0	 1	0	0
[i	17	0	0	 2	 5	 10
[j	2	0	0	0	 1	 1
[l	89	0	 1	 20	 53	 15
[m	14	0	 1	 1	 7	 5
[n	8	0	0	 4	 4	0
[o	16	0	0	 1	 11	 4
[p	18	0	 2	0	 4	 12
[q	19	0	 1	 1	 13	 4
[r	31	0	 13	 2	 1	 15
[s	135	0	0	 7	 28	 100
[t	5	0	0	 2	 2	 1
[u	15	0	0	 3	 10	 2
[v	14	0	 9	0	 2	 3
[w	1	0	0	0	0	 1
[x	1	0	 1	0	0	0
[y	11	0	0	0	0	 11
[{	1	0	0	0	0	 1
[À	2	0	0	0	0	 2
[É	1	0	0	0	 1	0
[à	5	0	0	 1	 3	 1
[é	9	0	 1	0	 5	 3
[ê	1	0	0	0	0	 1
\ 	4	0	0	0	0	 4
\a	9	 9	0	0	0	0
\b	9	 9	0	0	0	0
\g	9	 9	0	0	0	0
\i	1	 1	0	0	0	0
] 	1350	 26	 29	 55	 1023	 217
]"	3	0	0	 1	 2	0
]'	1	0	0	 1	0	0
])	12	0	0	0	 2	 10
],	153	 8	 18	 10	 95	 22
]-	2	0	0	0	 1	 1
].	663	 25	 15	 3	 577	 43
]4	2	0	0	0	0	 2
]8	1	0	0	0	0	 1
]9	1	0	0	0	0	 1
];	3	0	 2	0	0	 1
]<	4	0	0	0	0	 4
]>	7	0	0	0	0	 7
]?	2	0	 2	0	0	0
]L	1	0	0	0	 1	0
]U	1	0	0	0	0	 1
][	25	0	0	0	0	 25
]]	188	0	0	0	0	 188
]`	6	0	0	0	0	 6
]a	1	0	0	0	 1	0
]c	3	0	0	0	 1	 2
]e	1	 1	0	0	0	0
]f	1	0	0	0	 1	0
]i	1	0	0	0	 1	0
]k	1	0	0	0	0	 1
]p	1	0	0	 1	0	0
]r	1	0	0	0	0	 1
]u	7	0	0	0	0	 7
]z	8	0	0	0	0	 8
]{	1	0	0	0	0	 1
]|	2	0	0	0	0	 2
]Œ	1	0	0	0	0	 1
]«	6	0	0	0	0	 6
]»	17	0	0	0	0	 17
]Ä	1	0	0	0	0	 1
]Í	2	0	0	0	0	 2
]Ù	1	0	0	0	0	 1
]ß	4	0	0	0	0	 4
]ä	2	0	0	0	0	 2
]é	2	0	0	0	 2	0
^m	1	0	0	 1	0	0
